agent_id,agent_name,province,type,status,health_score,calls,tokens,person_year,satisfaction,trend
AGT1025,江苏-RPA助手-26,江苏,RPA,沉睡,C,19893,73189342,0.2,2.69,上升
AGT1026,广西-问答助手-27,广西,问答,推广,B,685057,2272762497,9.0,4.72,平稳
AGT1027,海南-交叉营销助手-28,海南,交叉营销,沉睡,C,72118,295746574,0.2,3.25,上升
AGT1028,云南-交叉营销助手-29,云南,交叉营销,活跃,B,5841,12070548,0.1,4.46,平稳
AGT1029,云南-交叉营销助手-30,云南,交叉营销,推广,B,16254,37784739,0.2,4.06,下降
AGT1030,香港-RPA助手-31,香港,RPA,活跃,A,97224,344728357,1.6,4.71,平稳
AGT1031,吉林-问答助手-32,吉林,问答,推广,B,29325,128585488,0.2,4.17,平稳
AGT1032,甘肃-问答助手-33,甘肃,问答,推广,A,35882,154395211,0.7,4.2,上升
AGT1033,湖北-交叉营销助手-34,湖北,交叉营销,活跃,D,3573,14584036,0.0,3.87,下降
AGT1034,台湾-问答助手-35,台湾,问答,活跃,D,47192,124936290,0.9,4.0,上升
AGT1035,台湾-问答助手-36,台湾,问答,推广,B,1053357,2607658806,12.7,4.39,平稳
AGT1036,江苏-交叉营销助手-37,江苏,交叉营销,活跃,C,2186358,4958782348,22.4,4.57,平稳
AGT1037,海南-话术助手-38,海南,话术,活跃,A,23297,53851892,0.2,4.0,上升
AGT1038,湖北-问答助手-39,湖北,问答,活跃,A,40491,132660689,0.2,3.7,上升
AGT1039,福建-问答助手-40,福建,问答,活跃,B,12135,28268689,0.2,4.49,上升
AGT1040,湖北-话术助手-41,湖北,话术,沉睡,C,4520,12547191,0.1,2.73,下降
AGT1041,台湾-问答助手-42,台湾,问答,沉睡,C,51497,137496638,1.0,3.48,平稳
AGT1042,新疆-工单助手-43,新疆,工单,推广,A,526907,1246262257,9.3,3.63,上升
AGT1043,西藏-质检助手-44,西藏,质检,活跃,A,196376,883373036,1.3,3.97,上升
AGT1044,青海-其他助手-45,青海,其他,沉睡,D,27980,107327784,0.3,3.43,上升
AGT1045,贵州-问答助手-46,贵州,问答,活跃,A,6698,22012337,0.1,3.48,下降
AGT1046,山东-问答助手-47,山东,问答,活跃,A,397962,1578422466,2.8,4.55,上升
AGT1047,重庆-问答助手-48,重庆,问答,推广,A,463296,1008475639,4.2,3.65,平稳
AGT1048,澳门-质检助手-49,澳门,质检,沉睡,C,223512,901652332,3.5,3.4,上升
AGT1049,天津-问答助手-50,天津,问答,推广,A,8040,25118507,0.1,4.55,上升
AGT1050,广西-话术助手-51,广西,话术,待淘汰,D,40197,157005584,0.2,3.91,上升
AGT1051,广东-教练助手-52,广东,教练,活跃,B,58400,221637951,0.6,4.16,平稳
AGT1052,安徽-交叉营销助手-53,安徽,交叉营销,活跃,B,156350,637102638,1.6,3.67,上升
AGT1053,山西-RPA助手-54,山西,RPA,活跃,B,131246,380200798,2.7,3.71,平稳
AGT1054,辽宁-教练助手-55,辽宁,教练,沉睡,C,824773,2858324027,9.5,3.34,上升
AGT1055,重庆-工单助手-56,重庆,工单,沉睡,D,183169,658073962,3.5,3.49,平稳
AGT1056,山东-话术助手-57,山东,话术,活跃,A,41132,130419349,0.7,4.16,下降
AGT1057,台湾-问答助手-58,台湾,问答,活跃,A,33706,120593076,0.5,4.59,上升
AGT1058,河北-其他助手-59,河北,其他,待淘汰,D,169253,598520692,3.2,3.94,上升
AGT1059,河北-工单助手-60,河北,工单,待淘汰,D,108746,228790668,0.7,3.91,下降
AGT1060,福建-问答助手-61,福建,问答,推广,B,39725,176802191,0.6,4.63,平稳
AGT1061,北京-问答助手-62,北京,问答,推广,B,162657,488116019,3.2,4.43,上升
AGT1062,甘肃-质检助手-63,甘肃,质检,沉睡,D,124881,312487022,2.2,3.72,下降
AGT1063,河南-其他助手-64,河南,其他,活跃,A,2153398,7779958247,6.1,4.67,下降
AGT1064,浙江-问答助手-65,浙江,问答,活跃,C,80661,327212935,0.2,3.71,平稳
AGT1065,重庆-质检助手-66,重庆,质检,活跃,C,652786,2097549329,3.4,3.51,平稳
AGT1066,湖南-话术助手-67,湖南,话术,推广,A,61892,135063577,0.9,4.42,上升
AGT1067,贵州-交叉营销助手-68,贵州,交叉营销,待淘汰,D,153230,505996940,2.3,3.66,下降
AGT1068,安徽-工单助手-69,安徽,工单,活跃,D,71098,156251367,0.8,3.57,上升
AGT1069,广东-RPA助手-70,广东,RPA,待淘汰,D,24678,66270550,0.2,3.62,平稳
AGT1070,贵州-工单助手-71,贵州,工单,活跃,A,32274,73986777,0.3,3.49,下降
AGT1071,云南-问答助手-72,云南,问答,活跃,B,7611,25292636,0.1,3.66,平稳
AGT1072,福建-交叉营销助手-73,福建,交叉营销,活跃,A,1479646,6416263840,23.4,4.73,下降
AGT1073,天津-RPA助手-74,天津,RPA,活跃,C,83238,201964115,0.9,3.38,上升
AGT1074,宁夏-话术助手-75,宁夏,话术,活跃,A,282943,798436941,2.2,3.72,上升
AGT1075,辽宁-工单助手-76,辽宁,工单,推广,A,10280,33134477,0.1,4.49,平稳
AGT1076,台湾-话术助手-77,台湾,话术,活跃,B,137511,338127212,2.4,4.58,上升
AGT1077,湖南-工单助手-78,湖南,工单,活跃,B,29698,68579427,0.4,4.07,平稳
AGT1078,河北-问答助手-79,河北,问答,活跃,D,619,1296881,0.0,3.33,平稳
AGT1079,湖北-问答助手-80,湖北,问答,活跃,C,91761,350420675,0.4,3.9,平稳
AGT1080,青海-问答助手-81,青海,问答,沉睡,D,167440,601696678,2.9,3.44,平稳
AGT1081,福建-问答助手-82,福建,问答,沉睡,C,64269,206845728,0.9,2.99,下降
AGT1082,云南-教练助手-83,云南,教练,活跃,A,221044,517274035,3.9,4.58,上升
AGT1083,河南-工单助手-84,河南,工单,活跃,B,1261,5632160,0.0,4.08,上升
AGT1084,浙江-RPA助手-85,浙江,RPA,活跃,C,6048316,20588384616,34.1,4.04,上升
AGT1085,河北-教练助手-86,河北,教练,活跃,A,143802,394453959,0.7,4.45,上升
AGT1086,宁夏-RPA助手-87,宁夏,RPA,优秀,A,14282,61435027,0.1,4.35,下降
AGT1087,广西-问答助手-88,广西,问答,沉睡,D,17446,52436587,0.1,3.01,平稳
AGT1088,山东-质检助手-89,山东,质检,活跃,C,31319,91338041,0.3,3.65,上升
AGT1089,贵州-交叉营销助手-90,贵州,交叉营销,活跃,B,89479,206108596,1.8,3.87,平稳
AGT1090,上海-教练助手-91,上海,教练,沉睡,C,31817,130699850,0.5,3.05,平稳
AGT1091,山西-话术助手-92,山西,话术,沉睡,D,60075,182501193,0.3,4.21,上升
AGT1092,广东-问答助手-93,广东,问答,活跃,D,13841,31682243,0.1,3.02,上升
AGT1093,天津-RPA助手-94,天津,RPA,待淘汰,D,1095072,2711880231,12.0,2.44,下降
AGT1094,浙江-话术助手-95,浙江,话术,活跃,D,77361,283223221,0.8,3.68,下降
AGT1095,香港-交叉营销助手-96,香港,交叉营销,推广,B,124665,424688595,2.1,4.02,平稳
AGT1096,湖北-教练助手-97,湖北,教练,沉睡,C,41144,158877244,0.8,3.29,平稳
AGT1097,澳门-RPA助手-98,澳门,RPA,活跃,C,15073,30813502,0.2,4.08,上升
AGT1098,广西-问答助手-99,广西,问答,活跃,B,305789,1290920458,3.5,4.33,平稳
AGT1099,河北-工单助手-100,河北,工单,活跃,C,25843,95942530,0.4,3.4,上升
AGT1100,江苏-质检助手-101,江苏,质检,活跃,C,330355,1380461493,2.3,3.04,下降
AGT1101,上海-工单助手-102,上海,工单,活跃,A,42464,165869110,0.8,3.8,平稳
AGT1102,四川-RPA助手-103,四川,RPA,推广,B,46176,205483830,0.6,4.07,平稳
AGT1103,广东-质检助手-104,广东,质检,活跃,C,2547,11111396,0.0,4.32,上升
AGT1104,重庆-工单助手-105,重庆,工单,活跃,B,3868,9324495,0.0,4.62,下降
AGT1105,青海-工单助手-106,青海,工单,沉睡,D,179243,792193370,3.4,3.72,平稳
AGT1106,江西-问答助手-107,江西,问答,活跃,B,236771,913128664,1.8,5.0,平稳
AGT1107,四川-质检助手-108,四川,质检,优秀,B,1129981,4658470290,12.0,3.47,下降
AGT1108,陕西-教练助手-109,陕西,教练,优秀,B,9654,31667257,0.2,3.75,上升
AGT1109,福建-话术助手-110,福建,话术,活跃,A,3452,14804041,0.1,3.7,平稳
AGT1110,澳门-质检助手-111,澳门,质检,活跃,B,10215,44628444,0.2,4.11,上升
AGT1111,云南-交叉营销助手-112,云南,交叉营销,沉睡,D,606552,2065529061,7.7,3.53,上升
AGT1112,山东-教练助手-113,山东,教练,活跃,A,251309,1111297627,2.9,5.0,上升
AGT1113,江西-话术助手-114,江西,话术,待淘汰,D,2672650,5762766335,42.0,3.49,上升
AGT1114,宁夏-其他助手-115,宁夏,其他,推广,A,200696,429168234,2.5,3.96,上升
AGT1115,台湾-交叉营销助手-116,台湾,交叉营销,推广,B,83784,303706966,1.4,4.76,平稳
AGT1116,江西-交叉营销助手-117,江西,交叉营销,推广,A,56396,246803497,0.5,3.64,上升
AGT1117,新疆-RPA助手-118,新疆,RPA,活跃,B,36763,75900795,0.2,3.83,平稳
AGT1118,湖北-问答助手-119,湖北,问答,活跃,A,74936,309956921,1.1,4.24,上升
AGT1119,贵州-话术助手-120,贵州,话术,优秀,B,143490,547831478,2.9,4.02,上升
AGT1120,湖北-问答助手-121,湖北,问答,优秀,A,282327,956114848,5.4,4.04,下降
AGT1121,广东-问答助手-122,广东,问答,活跃,C,51369,180687005,0.3,3.9,下降
AGT1122,香港-工单助手-123,香港,工单,活跃,A,73572,173710202,0.8,5.0,上升
AGT1123,辽宁-教练助手-124,辽宁,教练,活跃,C,15960,34032143,0.3,4.06,下降
AGT1124,安徽-工单助手-125,安徽,工单,活跃,C,32146,120307450,0.4,3.1,上升
AGT1125,陕西-教练助手-126,陕西,教练,活跃,A,119381,319548198,1.1,4.29,平稳
AGT1126,内蒙古-其他助手-127,内蒙古,其他,推广,A,15108,47994376,0.1,4.89,上升
AGT1127,贵州-质检助手-128,贵州,质检,活跃,B,115093,308539990,0.5,4.45,上升
AGT1128,天津-教练助手-129,天津,教练,活跃,C,341041,1128237164,1.6,3.3,上升
AGT1129,江西-话术助手-130,江西,话术,活跃,D,18742,39186745,0.1,3.82,平稳
AGT1130,湖北-工单助手-131,湖北,工单,活跃,C,42732,137284338,0.5,3.13,下降
AGT1131,湖南-交叉营销助手-132,湖南,交叉营销,推广,A,417182,1407286679,8.2,4.1,下降
AGT1132,江苏-质检助手-133,江苏,质检,推广,B,760055,1950936207,10.3,3.85,平稳
AGT1133,四川-质检助手-134,四川,质检,活跃,C,7915,24497356,0.1,3.38,上升
AGT1134,云南-教练助手-135,云南,教练,活跃,A,115019,333267773,2.0,4.87,上升
AGT1135,贵州-工单助手-136,贵州,工单,活跃,D,418371,1128706525,6.0,3.31,下降
AGT1136,浙江-话术助手-137,浙江,话术,活跃,C,297924,628197598,2.2,3.53,下降
AGT1137,海南-问答助手-138,海南,问答,活跃,B,5408,20032919,0.0,3.89,平稳
AGT1138,贵州-质检助手-139,贵州,质检,活跃,B,897395,2599907422,12.3,4.14,上升
AGT1139,河北-问答助手-140,河北,问答,活跃,B,307651,1229438189,2.3,4.08,上升
AGT1140,湖北-工单助手-141,湖北,工单,活跃,B,31393,63773138,0.2,4.07,平稳
AGT1141,安徽-质检助手-142,安徽,质检,活跃,D,95112,198583629,1.2,3.7,平稳
AGT1142,广东-教练助手-143,广东,教练,沉睡,D,13674,46599774,0.3,3.32,上升
AGT1143,安徽-话术助手-144,安徽,话术,活跃,A,304460,972072137,6.3,4.28,平稳
AGT1144,江苏-其他助手-145,江苏,其他,活跃,B,3931,8711661,0.0,4.41,上升
AGT1145,吉林-教练助手-146,吉林,教练,待淘汰,C,677811,1464920309,13.8,4.12,平稳
AGT1146,云南-教练助手-147,云南,教练,推广,B,69387,278707778,0.2,3.46,平稳
AGT1147,黑龙江-问答助手-148,黑龙江,问答,活跃,B,12297,37694066,0.2,4.3,平稳
AGT1148,河南-质检助手-149,河南,质检,优秀,B,76984,312918448,0.6,4.66,上升
AGT1149,河北-质检助手-150,河北,质检,活跃,D,23324,77366708,0.1,3.38,上升
AGT1150,湖北-质检助手-151,湖北,质检,活跃,C,28757,81504829,0.2,4.14,平稳
AGT1151,浙江-问答助手-152,浙江,问答,优秀,B,34809,150766825,0.6,4.0,平稳
AGT1152,重庆-教练助手-153,重庆,教练,待淘汰,D,149209,371993952,1.0,3.28,平稳
AGT1153,上海-话术助手-154,上海,话术,活跃,B,32860,116580823,0.2,3.79,下降
AGT1154,天津-问答助手-155,天津,问答,活跃,A,8135,28452387,0.0,3.33,上升
AGT1155,台湾-话术助手-156,台湾,话术,优秀,A,308092,828143756,5.9,3.61,平稳
AGT1156,江苏-话术助手-157,江苏,话术,待淘汰,C,157389,438702975,1.3,3.14,上升
AGT1157,安徽-质检助手-158,安徽,质检,推广,B,9760,31190121,0.1,3.81,平稳
AGT1158,宁夏-问答助手-159,宁夏,问答,活跃,A,340413,684982839,6.7,4.25,上升
AGT1159,吉林-质检助手-160,吉林,质检,推广,B,396019,1540401420,4.5,4.17,上升
AGT1160,四川-交叉营销助手-161,四川,交叉营销,活跃,B,209765,749318937,3.5,4.37,平稳
AGT1161,福建-工单助手-162,福建,工单,沉睡,D,99981,250093638,0.6,3.48,上升
AGT1162,湖南-工单助手-163,湖南,工单,沉睡,C,166138,352405376,1.1,3.44,平稳
AGT1163,广西-问答助手-164,广西,问答,活跃,C,258864,725183696,1.1,4.06,上升
AGT1164,山东-其他助手-165,山东,其他,活跃,B,58785,163133375,1.0,4.83,下降
AGT1165,青海-问答助手-166,青海,问答,活跃,C,34198,143844919,0.1,3.3,平稳
AGT1166,重庆-质检助手-167,重庆,质检,活跃,C,151680,560192420,2.3,2.65,下降
AGT1167,江西-工单助手-168,江西,工单,待淘汰,C,20595,84571024,0.2,3.35,平稳
AGT1168,重庆-问答助手-169,重庆,问答,推广,A,366586,1132793790,5.9,3.3,下降
AGT1169,甘肃-问答助手-170,甘肃,问答,活跃,B,28986,89091941,0.3,4.54,上升
AGT1170,北京-其他助手-171,北京,其他,活跃,B,889910,3807873469,7.9,4.54,平稳
AGT1171,北京-问答助手-172,北京,问答,沉睡,C,9326,31091821,0.0,2.9,上升
AGT1172,湖北-工单助手-173,湖北,工单,沉睡,D,184494,511847815,3.4,3.16,平稳
AGT1173,上海-问答助手-174,上海,问答,推广,B,115934,314264696,1.5,3.83,平稳
AGT1174,陕西-话术助手-175,陕西,话术,活跃,B,1269089,5025503129,12.4,4.39,平稳
AGT1175,山东-话术助手-176,山东,话术,活跃,C,291316,966626653,5.7,3.49,平稳
AGT1176,辽宁-问答助手-177,辽宁,问答,沉睡,C,14156,28849014,0.1,2.57,上升
AGT1177,西藏-质检助手-178,西藏,质检,活跃,B,74008,244548931,0.2,4.17,上升
AGT1178,香港-工单助手-179,香港,工单,沉睡,C,211194,812196955,1.8,4.31,平稳
AGT1179,陕西-质检助手-180,陕西,质检,推广,A,354767,984342830,1.4,4.82,上升
AGT1180,天津-RPA助手-181,天津,RPA,活跃,B,341301,719855796,2.3,4.33,下降
AGT1181,广东-问答助手-182,广东,问答,待淘汰,C,45147,93475886,0.3,3.46,下降
AGT1182,陕西-交叉营销助手-183,陕西,交叉营销,沉睡,C,114666,318495326,1.0,3.29,上升
AGT1183,宁夏-问答助手-184,宁夏,问答,优秀,B,110660,244125164,1.8,4.75,上升
AGT1184,重庆-问答助手-185,重庆,问答,优秀,B,14618,47013037,0.2,4.39,下降
AGT1185,广西-RPA助手-186,广西,RPA,活跃,D,101428,270005474,2.0,3.31,平稳
AGT1186,海南-问答助手-187,海南,问答,活跃,C,35967,158467483,0.7,3.59,上升
AGT1187,黑龙江-质检助手-188,黑龙江,质检,活跃,B,659067,1995214792,9.3,4.43,平稳
AGT1188,新疆-问答助手-189,新疆,问答,沉睡,D,124203,502354764,1.1,3.39,下降
AGT1189,福建-问答助手-190,福建,问答,待淘汰,C,2040,5735997,0.0,3.11,上升
AGT1190,河北-质检助手-191,河北,质检,活跃,B,38633,101872090,0.7,4.09,上升
AGT1191,甘肃-交叉营销助手-192,甘肃,交叉营销,沉睡,D,16564,52404589,0.1,3.21,平稳
AGT1192,西藏-话术助手-193,西藏,话术,活跃,D,52744,163323303,0.9,2.75,上升
AGT1193,台湾-话术助手-194,台湾,话术,沉睡,D,98466,336199185,1.5,3.08,下降
AGT1194,天津-其他助手-195,天津,其他,活跃,A,153854,681593788,2.8,4.07,上升
AGT1195,台湾-质检助手-196,台湾,质检,活跃,B,65352,186016957,0.7,3.96,平稳
AGT1196,山西-RPA助手-197,山西,RPA,活跃,C,4003,8476964,0.1,3.61,下降
AGT1197,湖南-交叉营销助手-198,湖南,交叉营销,沉睡,D,117682,329704585,1.5,3.4,上升
AGT1198,浙江-交叉营销助手-199,浙江,交叉营销,活跃,B,140257,280654798,2.4,3.79,上升
AGT1199,湖南-工单助手-200,湖南,工单,活跃,B,73408,264558703,0.2,4.18,上升
AGT1200,山西-工单助手-201,山西,工单,活跃,C,416628,889059737,2.1,4.28,平稳
AGT1201,湖北-质检助手-202,湖北,质检,活跃,B,33664,76259902,0.4,4.28,上升
AGT1202,澳门-问答助手-203,澳门,问答,活跃,B,15459,47548654,0.1,4.34,下降
AGT1203,北京-话术助手-204,北京,话术,沉睡,D,11590,35982575,0.2,3.38,上升
AGT1204,广东-RPA助手-205,广东,RPA,待淘汰,C,35118,146410595,0.2,3.2,平稳
AGT1205,上海-问答助手-206,上海,问答,沉睡,C,10167,22821280,0.1,3.79,平稳
AGT1206,湖南-问答助手-207,湖南,问答,活跃,D,62577,254953667,0.6,3.04,上升
AGT1207,山东-问答助手-208,山东,问答,推广,B,46280,97442594,0.5,4.38,平稳
AGT1208,湖南-交叉营销助手-209,湖南,交叉营销,待淘汰,D,93232,350667376,1.0,3.4,平稳
AGT1209,吉林-质检助手-210,吉林,质检,活跃,B,8633,36709841,0.1,4.33,平稳
AGT1210,四川-RPA助手-211,四川,RPA,活跃,A,1551,5385111,0.0,4.47,上升
AGT1211,湖南-其他助手-212,湖南,其他,活跃,C,22607,100367781,0.2,3.39,上升
AGT1212,西藏-问答助手-213,西藏,问答,沉睡,D,192291,446393739,0.5,3.74,平稳
AGT1213,河南-RPA助手-214,河南,RPA,活跃,B,3221977,10577508974,37.3,4.26,上升
AGT1214,江苏-问答助手-215,江苏,问答,活跃,B,3312,12319895,0.1,4.26,上升
AGT1215,湖北-问答助手-216,湖北,问答,推广,B,132882,315090855,1.7,3.77,平稳
AGT1216,海南-问答助手-217,海南,问答,沉睡,C,24367,75029661,0.4,3.29,下降
AGT1217,辽宁-话术助手-218,辽宁,话术,活跃,A,70304,219824096,1.1,4.26,下降
AGT1218,甘肃-话术助手-219,甘肃,话术,优秀,A,31458,133115417,0.3,4.39,平稳
AGT1219,辽宁-问答助手-220,辽宁,问答,活跃,D,53367,239657428,1.0,3.58,平稳
AGT1220,北京-话术助手-221,北京,话术,活跃,D,99571,372936673,0.8,3.64,上升
AGT1221,河北-问答助手-222,河北,问答,活跃,C,43084,96410536,0.2,3.51,平稳
AGT1222,江苏-交叉营销助手-223,江苏,交叉营销,活跃,D,113967,276443811,0.9,3.82,上升
AGT1223,广西-质检助手-224,广西,质检,沉睡,D,77435,342943422,0.6,2.47,平稳
AGT1224,湖北-RPA助手-225,湖北,RPA,活跃,D,8378,21455412,0.1,3.6,下降
AGT1225,甘肃-质检助手-226,甘肃,质检,活跃,B,198511,558118042,3.1,4.48,平稳
AGT1226,香港-话术助手-227,香港,话术,优秀,B,1372288,3634673460,5.6,4.48,上升
AGT1227,湖北-质检助手-228,湖北,质检,沉睡,C,24301,73185726,0.2,3.97,上升
AGT1228,浙江-教练助手-229,浙江,教练,待淘汰,D,5635,24537839,0.1,3.4,上升
AGT1229,云南-质检助手-230,云南,质检,沉睡,C,8021,26226612,0.1,3.41,下降
AGT1230,海南-RPA助手-231,海南,RPA,活跃,C,258737,1112485614,0.9,3.5,下降
AGT1231,北京-工单助手-232,北京,工单,活跃,A,92913,351765728,1.8,3.72,平稳
AGT1232,青海-工单助手-233,青海,工单,活跃,A,1187137,3613194758,18.9,4.36,平稳
AGT1233,江苏-问答助手-234,江苏,问答,沉睡,C,244772,597661208,3.2,3.01,下降
AGT1234,河北-RPA助手-235,河北,RPA,活跃,C,11258,31330508,0.1,3.25,下降
AGT1235,上海-工单助手-236,上海,工单,活跃,B,311523,1063744405,1.7,4.12,平稳
AGT1236,辽宁-RPA助手-237,辽宁,RPA,沉睡,D,79519,167179062,1.0,3.12,下降
AGT1237,吉林-话术助手-238,吉林,话术,沉睡,C,3139,9717548,0.0,3.27,上升
AGT1238,宁夏-质检助手-239,宁夏,质检,活跃,B,20501,48559335,0.1,4.26,下降
AGT1239,海南-交叉营销助手-240,海南,交叉营销,推广,A,80656,307740847,1.4,4.12,上升
AGT1240,河北-RPA助手-241,河北,RPA,活跃,C,38356,150056231,0.2,3.97,上升
AGT1241,香港-其他助手-242,香港,其他,活跃,D,3712,9900825,0.1,3.58,上升
AGT1242,云南-教练助手-243,云南,教练,推广,B,18813,66824660,0.3,3.99,平稳
AGT1243,海南-问答助手-244,海南,问答,沉睡,C,50855,209114709,1.0,3.07,上升
AGT1244,新疆-问答助手-245,新疆,问答,活跃,C,260694,743118830,0.7,3.76,平稳
AGT1245,广东-问答助手-246,广东,问答,活跃,B,148240,316992631,0.8,3.55,平稳
AGT1246,山东-RPA助手-247,山东,RPA,活跃,B,183369,391853615,1.9,4.25,平稳
AGT1247,重庆-交叉营销助手-248,重庆,交叉营销,活跃,D,5694,23838013,0.1,3.05,平稳
AGT1248,新疆-教练助手-249,新疆,教练,活跃,C,90539,405102404,0.9,3.37,上升
AGT1249,浙江-问答助手-250,浙江,问答,沉睡,D,19095,58495455,0.1,3.65,平稳
AGT1250,安徽-话术助手-251,安徽,话术,沉睡,C,74406,322966755,1.4,3.19,下降
AGT1251,江西-交叉营销助手-252,江西,交叉营销,沉睡,C,33532,138983188,0.3,2.67,下降
AGT1252,安徽-交叉营销助手-253,安徽,交叉营销,推广,A,855,1775887,0.0,4.66,上升
AGT1253,台湾-质检助手-254,台湾,质检,活跃,D,65872,222142208,0.4,3.35,上升
AGT1254,西藏-交叉营销助手-255,西藏,交叉营销,活跃,D,28753,76445129,0.1,3.25,上升
AGT1255,澳门-工单助手-256,澳门,工单,活跃,A,177528,469096569,0.5,4.38,上升
AGT1256,浙江-问答助手-257,浙江,问答,活跃,B,4846,21086609,0.1,4.24,平稳
AGT1257,福建-工单助手-258,福建,工单,活跃,C,329035,1434670569,2.8,3.44,平稳
AGT1258,四川-问答助手-259,四川,问答,活跃,B,1719475,6413056733,16.4,3.82,下降
AGT1259,云南-质检助手-260,云南,质检,活跃,B,111882,456523999,1.3,4.67,上升
