week_start,province,tier,calls,tokens,active_agents,person_year_saved,clicks,visits,exposures,conversion_rate
2026-06-08,海南,潜力层,51940,205513066,1,34.4,977,0,509,95.0
2026-06-08,甘肃,潜力层,338,246373775,1,25.6,284,28,166,95.0
2026-06-08,贵州,潜力层,106799,712996810,20,0.0,147,5,876,16.78
2026-06-08,黑龙江,潜力层,45119,429466,6,0.0,43,0,700,6.14
2026-06-08,吉林,潜力层,40018,1859,1,39.9,45,436,2,95.0
2026-06-08,山西,潜力层,89569,4127452,1,3.8,0,0,13,0.0
2026-06-08,内蒙古,潜力层,88258,273095173,1,0.3,77,1,60,95.0
2026-06-08,天津,潜力层,0,141967,1,0.0,201,0,477,42.14
2026-06-08,台湾,潜力层,19405,564129256,2,0.1,14,0,146,9.59
2026-06-08,香港,潜力层,1017,366749635,1,0.0,33,0,79,41.77
2026-06-08,澳门,潜力层,24543,15865238,36,0.2,3,0,0,95.0
2026-06-15,广东,引领层,89791,459979885,15,20.2,37,119,718,5.15
2026-06-15,北京,引领层,39196,243396533,1,5.1,266,198,956,27.82
2026-06-15,浙江,引领层,30781,143757102,1,34.7,61,1,430,14.19
2026-06-15,江苏,引领层,35523,15686987,1,48.6,203,53,26,95.0
2026-06-15,四川,成长层,45434,2172630,1,0.0,1036,58,336,95.0
2026-06-15,山东,成长层,55371,327428564,16,0.2,0,26,563,0.0
2026-06-15,湖南,成长层,4907,143106495,1,36.0,5,3,1352,0.37
2026-06-15,湖北,成长层,2782,427804919,1,17.5,734,13,95,95.0
2026-06-15,安徽,成长层,236007,6418629,36,1.1,339,106,191,95.0
2026-06-15,河南,成长层,182360,95260,11,22.5,0,0,2953,0.0
2026-06-15,河北,成长层,20904,14197372,30,0.9,0,64,2051,0.0
2026-06-15,福建,成长层,34548,79555422,1,5.3,430,63,0,95.0
2026-06-15,上海,成长层,138882,2928263,15,0.0,0,8,4,0.0
2026-06-15,陕西,成长层,10023,528153258,2,0.1,16,0,2481,0.64
2026-06-15,重庆,成长层,89936,165077802,1,90.6,18,32,0,95.0
2026-06-15,辽宁,成长层,1841,140050855,8,17.6,6,0,0,95.0
2026-06-15,江西,成长层,23249,41161980,32,0.9,90,0,38,95.0
2026-06-15,云南,成长层,875,2143510,1,1.5,0,0,892,0.0
2026-06-15,广西,成长层,1849,170254014,1,1.2,88,3,91,95.0
2026-06-15,西藏,潜力层,181385,309811843,7,0.7,263,121,1134,23.19
2026-06-15,青海,潜力层,6373,9443100,15,1.2,39,0,4,95.0
2026-06-15,宁夏,潜力层,0,6908250,1,0.0,2,0,0,95.0
2026-06-15,新疆,潜力层,30063,343652725,1,0.4,112,17,245,45.71
2026-06-15,海南,潜力层,12082,26307402,1,0.1,1,0,38,2.63
2026-06-15,甘肃,潜力层,3111,4897905,1,6.7,7,23,0,95.0
2026-06-15,贵州,潜力层,18726,42783245,1,39.6,4,35,583,0.69
2026-06-15,黑龙江,潜力层,32216,437639,18,1.3,763,82,2,95.0
2026-06-15,吉林,潜力层,500,17296,1,0.0,0,1,78,0.0
2026-06-15,山西,潜力层,5835,142237532,9,0.5,16,46,786,2.04
2026-06-15,内蒙古,潜力层,43607,433389,8,0.0,109,1,163,66.87
2026-06-15,天津,潜力层,34082,62709914,1,0.5,0,70,3,0.0
2026-06-15,台湾,潜力层,4522,46275017,1,21.1,0,46,7,0.0
2026-06-15,香港,潜力层,2569,1670938241,4,18.3,258,0,36,95.0
2026-06-15,澳门,潜力层,94056,266787215,1,27.6,0,7,0,0.0
2026-06-22,广东,引领层,21253,127133543,22,4.2,101,6,0,95.0
2026-06-22,北京,引领层,9527,5553,1,52.6,204,21,436,46.79
2026-06-22,浙江,引领层,4208,294199160,6,20.3,53,1,711,7.45
2026-06-22,江苏,引领层,102747,43019986,1,4.3,359,26,155,95.0
2026-06-22,四川,成长层,67,89384791,9,0.1,47,19,297,15.82
2026-06-22,山东,成长层,138,216460999,18,12.3,0,0,0,0.0
2026-06-22,湖南,成长层,2134,87768144,1,40.7,367,0,85,95.0
2026-06-22,湖北,成长层,315121,187679591,1,2.5,0,50,0,0.0
2026-06-22,安徽,成长层,53882,728785965,26,60.5,394,1,3494,11.28
2026-06-22,河南,成长层,30644,632908608,14,0.0,6,7,1206,0.5
2026-06-22,河北,成长层,27603,25544635,47,31.4,43,0,133,32.33
2026-06-22,福建,成长层,19848,83061859,13,45.7,492,44,48,95.0
2026-06-22,上海,成长层,1925,23844845,1,1.7,29,0,0,95.0
2026-06-22,陕西,成长层,31625,25459976,16,65.1,62,21,332,18.67
2026-06-22,重庆,成长层,95801,140574828,1,0.0,212,7,382,55.5
2026-06-22,辽宁,成长层,5890,89456268,1,5.1,19,54,0,95.0
2026-06-22,江西,成长层,129185,5756856,1,26.4,27,0,1810,1.49
2026-06-22,云南,成长层,11494,353809827,1,0.0,355,474,3,95.0
2026-06-22,广西,成长层,27455,267802616,1,33.8,342,11,31,95.0
2026-06-22,西藏,潜力层,7175,228010503,11,0.1,1,48,3,33.33
2026-06-22,青海,潜力层,6347,280729888,5,7.1,3,0,1546,0.19
2026-06-22,宁夏,潜力层,28555,284874177,3,0.1,56,8,36,95.0
2026-06-22,新疆,潜力层,5656,2,2,5.3,0,3,26,0.0
2026-06-22,海南,潜力层,20321,716027225,7,0.0,639,174,328,95.0
2026-06-22,甘肃,潜力层,114035,218207910,20,0.5,21,39,270,7.78
2026-06-22,贵州,潜力层,47187,154405049,1,1.4,0,4,0,0.0
2026-06-22,黑龙江,潜力层,153946,920389876,1,5.3,0,16,111,0.0
2026-06-22,吉林,潜力层,1746,21827258,9,0.0,17,66,8,95.0
2026-06-22,山西,潜力层,2480,48243450,4,0.0,38,0,1589,2.39
2026-06-22,内蒙古,潜力层,219769,199269049,1,0.8,0,0,1149,0.0
2026-06-22,天津,潜力层,73000,156353394,3,0.4,1,0,436,0.23
2026-06-22,台湾,潜力层,43669,1544149,1,10.2,1327,0,157,95.0
2026-06-22,香港,潜力层,4896,2155110,6,15.2,56,0,40,95.0
2026-06-22,澳门,潜力层,6522,191036865,3,0.0,4,50,2511,0.16
2026-06-29,广东,引领层,6770,174691192,4,2.2,0,0,4,0.0
2026-06-29,北京,引领层,41803,392640975,17,5.1,1709,0,353,95.0
2026-06-29,浙江,引领层,103581,141955901,5,1.6,211,20,567,37.21
2026-06-29,江苏,引领层,10420,902638,19,2.3,83,0,734,11.31
2026-06-29,四川,成长层,22214,4201925,3,2.2,8,5,139,5.76
2026-06-29,山东,成长层,2736,322784704,1,24.3,0,7,287,0.0
2026-06-29,湖南,成长层,73085,10172904,1,38.5,902,2,582,95.0
2026-06-29,湖北,成长层,9803,633021789,11,22.6,7,4,303,2.31
2026-06-29,安徽,成长层,42606,2944158323,1,41.3,352,204,502,70.12
2026-06-29,河南,成长层,157231,68842150,4,30.4,66,170,248,26.61
2026-06-29,河北,成长层,14177,63962018,1,5.1,199,69,0,95.0
2026-06-29,福建,成长层,57965,666660,1,22.1,568,18,3,95.0
2026-06-29,上海,成长层,188462,193473,1,4.0,19,0,826,2.3
2026-06-29,陕西,成长层,32170,13901488,13,7.8,36,5,411,8.76
2026-06-29,重庆,成长层,57904,103305917,13,7.4,62,0,2928,2.12
2026-06-29,辽宁,成长层,3239,414254175,8,0.2,412,54,3058,13.47
2026-06-29,江西,成长层,25362,516639477,1,1.9,3,13,648,0.46
2026-06-29,云南,成长层,18516,25553,66,0.0,66,0,694,9.51
2026-06-29,广西,成长层,39934,235780285,2,22.4,0,0,487,0.0
2026-06-29,西藏,潜力层,10906,33090614,1,14.0,100,0,618,16.18
2026-06-29,青海,潜力层,913,76906468,1,22.9,186,113,1634,11.38
2026-06-29,宁夏,潜力层,17379,13699847,11,56.8,31,59,889,3.49
2026-06-29,新疆,潜力层,191593,1028294,11,3.5,128,0,947,13.52
2026-06-29,海南,潜力层,3538,567341651,12,32.8,2,0,111,1.8
2026-06-29,甘肃,潜力层,136077,26258900,21,0.0,0,0,13,0.0
2026-06-29,贵州,潜力层,17,301186133,1,17.7,0,342,435,0.0
2026-06-29,黑龙江,潜力层,45844,69076531,1,0.6,626,29,9,95.0
2026-06-29,吉林,潜力层,39451,6307177,25,0.1,0,8,2010,0.0
2026-06-29,山西,潜力层,191302,112873105,7,44.3,1,0,0,95.0
2026-06-29,内蒙古,潜力层,10957,9983403,1,23.3,0,86,56,0.0
2026-06-29,天津,潜力层,55544,40538892,1,2.7,229,2,11,95.0
2026-06-29,台湾,潜力层,3954,174452088,1,36.5,121,0,296,40.88
2026-06-29,香港,潜力层,57834,17496542,1,1.5,79,0,46,95.0
2026-06-29,澳门,潜力层,53061,58160144,1,0.0,39,0,72,54.17
2026-07-06,广东,引领层,258,9823003,42,17.6,1,120,182,0.55
2026-07-06,北京,引领层,21089,116378670,1,19.5,243,8,2105,11.54
2026-07-06,浙江,引领层,1351,106275340,39,32.3,4,13,1175,0.34
2026-07-06,江苏,引领层,11238,164189747,1,16.1,119,270,766,15.54
2026-07-06,四川,成长层,176482,288713617,1,34.5,26,21,1295,2.01
2026-07-06,山东,成长层,41543,102992197,44,0.9,107,6,4284,2.5
2026-07-06,湖南,成长层,9959,71694041,1,20.5,48,11,590,8.14
2026-07-06,湖北,成长层,504,185206891,1,0.1,56,378,3,95.0
2026-07-06,安徽,成长层,1202,308643,18,13.6,46,8,7,95.0
2026-07-06,河南,成长层,60471,436874681,9,0.1,59,0,171,34.5
2026-07-06,河北,成长层,23295,330362796,1,6.3,321,0,1722,18.64
2026-07-06,福建,成长层,557,3324203,1,0.2,398,36,271,95.0
2026-07-06,上海,成长层,307036,72065177,43,35.4,694,0,77,95.0
2026-07-06,陕西,成长层,161287,53200942,19,70.7,0,3,25,0.0
2026-07-06,重庆,成长层,23159,444285897,1,0.7,78,1,1583,4.93
2026-07-06,辽宁,成长层,2076,557526853,1,2.2,278,0,555,50.09
2026-07-06,江西,成长层,632,58154627,8,0.5,4,0,58,6.9
2026-07-06,云南,成长层,29264,95440283,3,0.5,88,59,0,95.0
2026-07-06,广西,成长层,42828,60951804,1,0.5,2,0,202,0.99
2026-07-06,西藏,潜力层,71247,338217,1,6.6,34,77,241,14.11
2026-07-06,青海,潜力层,37,351326529,2,7.4,537,0,289,95.0
2026-07-06,宁夏,潜力层,83220,1708933770,17,0.2,940,5,0,95.0
2026-07-06,新疆,潜力层,66861,702968132,5,5.0,75,3,12,95.0
2026-07-06,海南,潜力层,21430,327534330,1,0.4,79,0,198,39.9
2026-07-06,甘肃,潜力层,9609,48,1,0.4,0,0,26,0.0
2026-07-06,贵州,潜力层,26162,100192690,1,8.8,569,14,2690,21.15
2026-07-06,黑龙江,潜力层,167799,15759857,1,0.4,4,35,269,1.49
2026-07-06,吉林,潜力层,102220,631791469,1,18.4,81,0,657,12.33
2026-07-06,山西,潜力层,24077,202721,9,0.0,1523,16,0,95.0
2026-07-06,内蒙古,潜力层,20951,1180,2,219.3,18,11,425,4.24
2026-07-06,天津,潜力层,5057,807642071,1,1.4,421,33,570,73.86
2026-07-06,台湾,潜力层,177192,14371530,9,0.0,2,42,428,0.47
2026-07-06,香港,潜力层,87446,1050577712,1,10.9,129,0,57,95.0
2026-07-06,澳门,潜力层,43594,33109064,1,0.4,91,0,121,75.21
2026-07-13,广东,引领层,1081,10268597,116,10.6,91,104,1111,8.19
2026-07-13,北京,引领层,20107,114248766,6,11.3,75,0,741,10.12
2026-07-13,浙江,引领层,69511,2765121,1,18.5,0,0,253,0.0
2026-07-13,江苏,引领层,9020,169088196,15,5.4,41,0,0,95.0
2026-07-13,四川,成长层,287425,39436238,1,8.6,0,11,358,0.0
2026-07-13,山东,成长层,1680,51424064,1,32.7,565,0,5,95.0
2026-07-13,湖南,成长层,159737,708619766,1,28.3,738,64,1892,39.01
2026-07-13,湖北,成长层,844,131565547,1,26.3,24,30,1741,1.38
2026-07-13,安徽,成长层,5930,2563786683,4,4.9,73,66,841,8.68
2026-07-13,河南,成长层,25780,2732341,39,0.3,0,6,69,0.0
2026-07-13,河北,成长层,61094,182631454,1,7.5,222,36,500,44.4
2026-07-13,福建,成长层,4871,27229474,1,0.6,627,5,39,95.0
2026-07-13,上海,成长层,137499,35311214,1,0.6,196,0,1,95.0
2026-07-13,陕西,成长层,16225,18173723,1,14.1,1,24,81,1.23
2026-07-13,重庆,成长层,114,247598120,1,0.0,7,0,687,1.02
2026-07-13,辽宁,成长层,1684,498797496,4,0.7,49,10,1577,3.11
2026-07-13,江西,成长层,70436,55787869,7,6.2,1,33,5,20.0
2026-07-13,云南,成长层,20160,17193945,1,2.2,12,76,3278,0.37
2026-07-13,广西,成长层,86917,893333847,5,0.0,348,12,275,95.0
2026-07-13,西藏,潜力层,18712,2034909,1,0.0,22,0,2191,1.0
2026-07-13,青海,潜力层,191779,266655826,2,21.1,355,0,37,95.0
2026-07-13,宁夏,潜力层,9907,596036985,1,95.1,572,273,2130,26.85
2026-07-13,新疆,潜力层,131589,6491919,1,16.7,130,0,54,95.0
2026-07-13,海南,潜力层,91250,84784608,18,199.2,199,1,4,95.0
2026-07-13,甘肃,潜力层,9302,7269181,1,0.3,8,0,1207,0.66
2026-07-13,贵州,潜力层,17377,1249665157,1,8.2,1694,269,1274,95.0
2026-07-13,黑龙江,潜力层,273795,132931669,1,11.5,501,27,303,95.0
2026-07-13,吉林,潜力层,32850,583017609,1,0.7,75,0,94,79.79
2026-07-13,山西,潜力层,46947,199955488,5,23.7,4,0,98,4.08
2026-07-13,内蒙古,潜力层,13270,658273742,1,5.7,238,16,3,95.0
2026-07-13,天津,潜力层,14201,375988591,41,27.9,735,0,1326,55.43
2026-07-13,台湾,潜力层,168,3674036,18,0.0,40,21,111,36.04
2026-07-13,香港,潜力层,4347,364053,1,0.0,1,92,0,95.0
2026-07-13,澳门,潜力层,44501,810492837,1,0.0,331,60,172,95.0
2026-07-20,广东,引领层,52391,9967510,89,0.0,3,0,895,0.34
2026-07-20,北京,引领层,4542,644125056,10,34.0,63,27,4699,1.34
2026-07-20,浙江,引领层,9166,3624169,19,4.9,1,0,120,0.83
2026-07-20,江苏,引领层,104355,987206207,9,8.0,113,0,1619,6.98
2026-07-20,四川,成长层,126703,406205616,1,6.0,109,0,565,19.29
2026-07-20,山东,成长层,9687,39238,13,0.0,131,2,544,24.08
2026-07-20,湖南,成长层,880,215529,6,7.8,1963,113,1799,95.0
2026-07-20,湖北,成长层,249466,253380020,1,50.3,52,6,25,95.0
2026-07-20,安徽,成长层,8609,3493486,15,30.0,1888,146,18,95.0
2026-07-20,河南,成长层,4190,10149637,1,26.0,1,2,646,0.15
2026-07-20,河北,成长层,56,63773331,1,0.5,2,87,144,1.39
2026-07-20,福建,成长层,110,135245255,1,31.8,0,0,67,0.0
2026-07-20,上海,成长层,119857,396479387,12,0.4,74,0,1168,6.34
2026-07-20,陕西,成长层,10943,60131524,1,114.4,27,264,3516,0.77
2026-07-20,重庆,成长层,35910,3649963542,1,0.4,34,16,145,23.45
2026-07-20,辽宁,成长层,3265,184753245,42,0.7,3,1,739,0.41
2026-07-20,江西,成长层,8411,610827591,1,0.0,50,0,7,95.0
2026-07-20,云南,成长层,18821,17905,1,30.9,895,17,6,95.0
2026-07-20,广西,成长层,297234,901498791,4,48.0,42,0,66,63.64
2026-07-20,西藏,潜力层,8091,492645858,1,29.4,38,112,0,95.0
2026-07-20,青海,潜力层,85,5885460,1,0.0,5,46,1635,0.31
2026-07-20,宁夏,潜力层,28854,1376750258,35,0.0,64,0,614,10.42
2026-07-20,新疆,潜力层,4586,111463069,1,0.5,259,0,1648,15.72
2026-07-20,海南,潜力层,1505,284955780,5,0.3,0,36,15,0.0
2026-07-20,甘肃,潜力层,86350,171288,4,66.7,5,0,24,20.83
2026-07-20,贵州,潜力层,180714,600166856,9,54.1,638,0,6,95.0
2026-07-20,黑龙江,潜力层,21771,859,2,5.3,52,3,2,95.0
2026-07-20,吉林,潜力层,38024,222207783,1,0.5,66,119,0,95.0
2026-07-20,山西,潜力层,21806,1940653,2,0.0,31,36,180,17.22
2026-07-20,内蒙古,潜力层,501000,48996966,1,79.9,19,99,1723,1.1
2026-07-20,天津,潜力层,78048,490947322,5,0.0,211,57,173,95.0
2026-07-20,台湾,潜力层,3143,244065710,4,0.0,368,0,1194,30.82
2026-07-20,香港,潜力层,57996,47047915,9,0.0,1386,0,1525,90.89
2026-07-20,澳门,潜力层,272,33771914,3,0.9,0,0,3,0.0
2026-07-27,广东,引领层,94545,1499160778,1,4.3,59,4,28,95.0
2026-07-27,北京,引领层,122127,1195481912,36,0.8,609,14,56,95.0
2026-07-27,浙江,引领层,19486,153879354,3,24.8,495,28,4611,10.74
2026-07-27,江苏,引领层,547012,2101727,1,7.1,582,17,317,95.0
2026-07-27,四川,成长层,58284,707749,1,93.6,22,5,186,11.83
2026-07-27,山东,成长层,63602,317751501,21,3.0,8,25,20,40.0
2026-07-27,湖南,成长层,130316,373910645,1,40.1,162,0,88,95.0
2026-07-27,湖北,成长层,8292,450335780,47,217.8,1,6,1511,0.07
2026-07-27,安徽,成长层,40512,3558774,6,8.5,654,195,122,95.0
2026-07-27,河南,成长层,48401,98743707,12,34.5,0,53,0,0.0
2026-07-27,河北,成长层,8767,246090202,1,0.0,374,42,142,95.0
2026-07-27,福建,成长层,1459,364002642,1,42.1,1236,0,189,95.0
2026-07-27,上海,成长层,209098,51404986,1,0.5,2,29,1282,0.16
2026-07-27,陕西,成长层,8986,251544685,18,0.0,399,1,169,95.0
2026-07-27,重庆,成长层,9376,490634061,6,1.7,40,177,23,95.0
2026-07-27,辽宁,成长层,11429,221126922,1,10.5,0,1,3092,0.0
2026-07-27,江西,成长层,29664,469209,10,27.8,75,1,0,95.0
2026-07-27,云南,成长层,167700,83572157,37,0.2,3,0,67,4.48
2026-07-27,广西,成长层,3139,103946451,2,39.7,660,0,33,95.0
2026-07-27,西藏,潜力层,54997,543428989,33,0.1,462,17,4327,10.68
2026-07-27,青海,潜力层,9583,2486510241,1,0.0,111,0,0,95.0
2026-07-27,宁夏,潜力层,223923,451909549,4,3.7,404,0,106,95.0
2026-07-27,新疆,潜力层,14876,88250634,1,0.0,1,0,434,0.23
2026-07-27,海南,潜力层,6803,2421058023,43,0.3,1062,260,1456,72.94
2026-07-27,甘肃,潜力层,39986,152421215,16,27.9,18,15,270,6.67
2026-07-27,贵州,潜力层,16101,1228375,1,0.0,678,3,30,95.0
2026-07-27,黑龙江,潜力层,7841,297018783,1,17.3,24,2,194,12.37
2026-07-27,吉林,潜力层,1344,7501218,1,0.0,0,78,20,0.0
2026-07-27,山西,潜力层,86775,253247607,1,0.0,26,0,2837,0.92
2026-07-27,内蒙古,潜力层,65425,1075438788,1,2.4,30,0,36,83.33
2026-07-27,天津,潜力层,6106,53060828,1,3.8,17,0,4282,0.4
2026-07-27,台湾,潜力层,49140,23211760,18,9.8,91,149,329,27.66
2026-07-27,香港,潜力层,29704,548203027,1,14.2,405,47,0,95.0
2026-07-27,澳门,潜力层,100660,1666124,1,47.7,724,0,33,95.0
